Item,Category,Pt_Cnt,Percent,Z_Min,Z_Max,Intensity_Min,Intensity_Max,Synthetic_Pt_Cnt,Range_Min,Range_Max

First,Returns,38043223,54.80,615.28,2307.31,,,,,
Second,Returns,17544670,25.27,681.42,2180.01,,,,,
Third,Returns,9445876,13.61,681.78,1904.75,,,,,
Fourth,Returns,3563906,5.13,682.22,1838.54,,,,,
Fifth,Returns,728435,1.05,682.93,1750.09,,,,,
Sixth,Returns,87855,0.13,684.02,1712.98,,,,,
Seventh,Returns,5956,0.01,691.10,1229.49,,,,,
Last,Returns,38056852,54.82,615.28,2307.31,,,,,
Single,Returns,20504996,29.54,615.28,2307.31,,,,,
First_of_Many,Returns,17538227,25.26,690.81,2217.61,,,,,
Last_of_Many,Returns,17551856,25.28,681.42,2180.01,,,,,
All,Returns,69419921,100.00,615.28,2307.31,,,,,
1_Unclassified,ClassCodes,55325281,79.70,681.72,1329.68,0,255,0,,
2_Ground,ClassCodes,14060647,20.25,681.42,1253.38,0,255,0,,
7_Low_Point(noise),ClassCodes,33993,0.05,615.28,2307.31,0,255,0,,
Return_No,Attributes,,,,,,,,1,7
Intensity,Attributes,,,,,,,,0,255
Class_Code,Attributes,,,,,,,,1,7
Scan_Angle,Attributes,,,,,,,,-23,24
User_Data,Attributes,,,,,,,,1,2
Point_Source,Attributes,,,,,,,,1121,1125
Model_Key,ClassFlags,0,0.00,,,,,,,
Synthetic,ClassFlags,0,0.00,,,,,,,
WithHeld,ClassFlags,0,0.00,,,,,,,
Overlap,ClassFlags,25756354,37.10,,,,,,,
